,state,incident_type,count,percentage
346,OH,Tornado,93,7.26
341,OH,Hurricane,90,7.03
343,OH,Other,14,1.09
342,OH,Mud/Landslide,2,0.16
353,OK,Severe Storm,1005,40.62
352,OK,Severe Ice Storm,596,24.09
347,OK,Biological,239,9.66
349,OK,Flood,225,9.09
348,OK,Fire,212,8.57
355,OK,Tornado,114,4.61
351,OK,Hurricane,77,3.11
354,OK,Snowstorm,4,0.16
350,OK,Human Cause,2,0.08
363,OR,Severe Storm,158,26.96
360,OR,Fire,147,25.09
362,OR,Flood,127,21.67
356,OR,Biological,83,14.16
357,OR,Coastal Storm,36,6.14
358,OR,Drought,19,3.24
361,OR,Fishing Losses,8,1.37
359,OR,Earthquake,5,0.85
364,OR,Tsunami,3,0.51
367,PA,Flood,349,28.17
368,PA,Hurricane,274,22.11
370,PA,Severe Storm,258,20.82
371,PA,Snowstorm,189,15.25
365,PA,Biological,134,10.82
372,PA,Tornado,15,1.21
366,PA,Drought,13,1.05
369,PA,Severe Ice Storm,7,0.56
378,PR,Hurricane,1024,51.53
377,PR,Flood,362,18.22
380,PR,Severe Storm,302,15.2
373,PR,Biological,156,7.85
375,PR,Earthquake,112,5.64
374,PR,Drought,25,1.26
376,PR,Fire,5,0.25
379,PR,Other,1,0.05
381,PW,Typhoon,1,100.0
383,RI,Hurricane,43,37.72
386,RI,Snowstorm,33,28.95
385,RI,Severe Storm,21,18.42
382,RI,Biological,13,11.4
384,RI,Other,2,1.75
387,RI,Toxic Substances,2,1.75
392,SC,Hurricane,541,57.13
394,SC,Severe Storm,108,11.4
393,SC,Severe Ice Storm,107,11.3
388,SC,Biological,94,9.93
391,SC,Flood,54,5.7
389,SC,Drought,31,3.27
395,SC,Tornado,7,0.74
390,SC,Fire,5,0.53
401,SD,Severe Storm,485,33.92
400,SD,Flood,413,28.88
396,SD,Biological,286,20.0
402,SD,Snowstorm,70,4.9
397,SD,Coastal Storm,66,4.62
398,SD,Drought,62,4.34
399,SD,Fire,27,1.89
404,SD,Winter Storm,19,1.33
403,SD,Tornado,2,0.14
411,TN,Severe Storm,749,46.67
407,TN,Flood,268,16.7
405,TN,Biological,190,11.84
413,TN,Tornado,135,8.41
408,TN,Hurricane,95,5.92
410,TN,Severe Ice Storm,75,4.67
412,TN,Snowstorm,57,3.55
406,TN,Fire,24,1.5
414,TN,Winter Storm,11,0.69
409,TN,Other,1,0.06
421,TX,Hurricane,1303,25.19
418,TX,Fire,1225,23.68
424,TX,Severe Storm,760,14.69
423,TX,Severe Ice Storm,554,10.71
415,TX,Biological,515,9.96
419,TX,Flood,503,9.72
417,TX,Drought,149,2.88
422,TX,Other,56,1.08
425,TX,Tornado,50,0.97
416,TX,Coastal Storm,42,0.81
420,TX,Freezing,16,0.31
431,UT,Flood,73,29.32
426,UT,Biological,72,28.92
430,UT,Fire,38,15.26
427,UT,Coastal Storm,29,11.65
428,UT,Drought,27,10.84
432,UT,Severe Storm,7,2.81
429,UT,Earthquake,2,0.8
433,UT,Tornado,1,0.4
440,VA,Hurricane,877,34.75
443,VA,Snowstorm,462,18.3
442,VA,Severe Storm,434,17.19
438,VA,Flood,281,11.13
434,VA,Biological,276,10.94
435,VA,Drought,100,3.96
439,VA,Freezing,39,1.55
441,VA,Severe Ice Storm,33,1.31
437,VA,Fire,11,0.44
436,VA,Earthquake,10,0.4
444,VA,Terrorist,1,0.04
448,VI,Hurricane,53,66.25
447,VI,Flood,7,8.75
450,VI,Severe Storm,7,8.75
445,VI,Biological,6,7.5
446,VI,Drought,6,7.5
449,VI,Other,1,1.25
456,VT,Severe Storm,153,45.27
453,VT,Flood,95,28.11
454,VT,Hurricane,42,12.43
451,VT,Biological,28,8.28
455,VT,Severe Ice Storm,9,2.66
457,VT,Snowstorm,9,2.66
452,VT,Drought,2,0.59
464,WA,Flood,291,29.72
467,WA,Severe Storm,250,25.54
462,WA,Fire,192,19.61
458,WA,Biological,107,10.93
459,WA,Coastal Storm,39,3.98
468,WA,Volcanic Eruption,39,3.98
461,WA,Earthquake,30,3.06
460,WA,Drought,16,1.63
463,WA,Fishing Losses,6,0.61
465,WA,Mud/Landslide,6,0.61
466,WA,Severe Ice Storm,3,0.31
474,WI,Severe Storm,293,32.85
472,WI,Flood,206,23.09
469,WI,Biological,167,18.72
473,WI,Hurricane,73,8.18
470,WI,Drought,66,7.4
476,WI,Tornado,47,5.27
475,WI,Snowstorm,39,4.37
471,WI,Fire,1,0.11
485,WV,Severe Storm,461,37.42
481,WV,Flood,292,23.7
486,WV,Snowstorm,148,12.01
482,WV,Hurricane,141,11.44
477,WV,Biological,110,8.93
480,WV,Fire,24,1.95
479,WV,Drought,21,1.7
483,WV,Mud/Landslide,21,1.7
478,WV,Chemical,9,0.73
484,WV,Severe Ice Storm,5,0.41
487,WY,Biological,48,37.5
489,WY,Fire,26,20.31
490,WY,Flood,24,18.75
492,WY,Severe Storm,21,16.41
488,WY,Drought,4,3.12
491,WY,Severe Ice Storm,2,1.56
493,WY,Tornado,2,1.56
494,WY,Toxic Substances,1,0.78
